N,smin_h,smin_H,smin_H_upper_bound,kbar_h,kbar_H,chi_out,zeta_h,Q_stage,Q_H,Q_stage_over_Q_H,T_metric,T_stage,T_direct_H,T_stage_over_T_H
8,0.1329604374405292,0.12901107815253346,5.240665618867825,45.40476214766738,46.79471812412324,1.6807328981353262,0.19608778689122083,6861.667165890594,3625.40460957836,1.8926624486993788,15311.330488364842,1353291.9662236038,696919.7537452494,1.9418189238445427
16,0.03751400824465298,0.03359921324267447,4.455018107736659,160.21696704974343,178.8845643327019,2.846163282035345,0.07974979729613584,108023.33342894027,30222.52783839311,3.5742653297092213,91657.16314956995,25468870.28884594,6933365.226680752,3.673377855653335
32,0.009974428499377117,0.006490757745031643,1.7467936686731158,601.8144118544235,924.8157236389625,6.633867845391466,0.030294658656219792,2664078.127106012,289436.15600650565,9.204372265938092,763645.7864540243,738170094.4539219,77334199.59797375,9.545196023122257
64,0.002572232725879551,0.00045047011523199746,0.14026582563217455,2332.87991354659,13320.994792476211,18.65442328362129,0.011106879752830147,84516153.3546159,5468979.558742445,15.453733634734926,7636762.332043194,27032408817.590645,1683948085.5254061,16.052994180729925
128,0.0006531528522367056,1.505748425367372e-06,0.0004625485501563795,9186.48714015422,3984849.1132664634,52.960913672079016,0.003999222278361058,2790883652.101316,2026351243.8505871,1.377295106448535,75844053.75005592,1012872770185.6733,732544619847.4542,1.3826772359567598
256,0.00016456693517957635,8.319250117070266e-12,2.5441040951935413e-09,36459.60480625498,721224309449.7716,149.7548411594743,0.0014269383750847063,93055432025.45131,518615316782557.44,0.0001794305509578059,737235869.398531,37787998829716.06,2.2995686539537635e+17,0.0001643264651600867
