gamma,kappa_H,kappa_h,kappa_eta,kappa_rho,Q,Q2,Pmax2
0.2,1.5,1.0000000000000002,1.5000000000000007,1.2247448713915894,1.224744871391589,1.4999999999999998,1.0416666666666672
0.5,3.000000000000001,1.0000000000000004,2.999999999999999,1.7320508075688772,1.7320508075688767,2.9999999999999982,1.3333333333333337
0.8,9.000000000000005,1.0000000000000004,9.000000000000004,3.0000000000000013,3.0,9.0,2.7777777777777786
0.95,38.999999999999964,1.000000000000001,39.0000000000001,6.244997998398392,6.244997998398393,38.999999999999936,10.256410256410273
0.99,199.000000000001,1.0000000000000069,199.00000000000202,14.106735979665931,14.106735979665796,198.9999999999975,50.25125628140732
